,filename,team,team_1,gender,season,date,event,venue,city,toss_winner,toss_decision,player_of_match,umpire,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,method,eliminator,players
1668,426388_info.csv,England,Australia,male,2010,2010/06/24,NatWest Series,Sophia Gardens,Cardiff,Australia,bat,SCJ Broad,NJ Llong,RK Illingworth,IJ Gould,J Srinath,England,,4,,,,
1669,426389_info.csv,England,Australia,male,2010,2010/06/27,NatWest Series,Old Trafford,Manchester,England,field,GP Swann,IJ Gould,NJ Llong,RA Kettleborough,J Srinath,England,,1,,,,
1670,426390_info.csv,England,Australia,male,2010,2010/06/30,NatWest Series,Kennington Oval,London,England,field,RJ Harris,RA Kettleborough,IJ Gould,RK Illingworth,J Srinath,Australia,78,,,,,
1671,426391_info.csv,England,Australia,male,2010,2010/07/03,NatWest Series,Lord's,London,Australia,bat,SW Tait,NJ Llong,RK Illingworth,RA Kettleborough,J Srinath,Australia,42,,,,,
1672,426403_info.csv,England,Bangladesh,male,2010,2010/07/08,NatWest Series,Trent Bridge,Nottingham,Bangladesh,bat,IR Bell,NJ Llong,RA Kettleborough,RK Illingworth,J Srinath,England,,6,,,,
1673,426404_info.csv,England,Bangladesh,male,2010,2010/07/10,NatWest Series,County Ground,Bristol,England,field,Mashrafe Mortaza,RK Illingworth,NJ Llong,RA Kettleborough,J Srinath,Bangladesh,5,,,,,
1674,426405_info.csv,England,Bangladesh,male,2010,2010/07/12,NatWest Series,Edgbaston,Birmingham,Bangladesh,field,AJ Strauss,RA Kettleborough,RK Illingworth,NJ Llong,J Srinath,England,144,,,,,
1675,426420_info.csv,Bangladesh,England,male,2009/10,2010/02/28,England in Bangladesh ODI Series,Shere Bangla National Stadium,Mirpur,England,field,Tamim Iqbal,RJ Tucker,Tanvir Ahmed,Sharfuddoula,JJ Crowe,England,,6,,,,
1676,426421_info.csv,Bangladesh,England,male,2009/10,2010/03/02,England in Bangladesh ODI Series,Shere Bangla National Stadium,Mirpur,England,field,EJG Morgan,RJ Tucker,Anisur Rahman,Sharfuddoula,JJ Crowe,England,,2,,,,
1677,426422_info.csv,Bangladesh,England,male,2009/10,2010/03/05,England in Bangladesh ODI Series,Zohur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,C Kieswetter,RJ Tucker,Masudur Rahman,Sharfuddoula,JJ Crowe,England,45,,,,,
